vcp=aMSa, skd=aMSa
vcp=kardda, skd=kardda
vcp=karba, skd=karbba *
vcp=karva, skd=karvva *
vcp=kala, skd=kala
vcp=kalla, skd=kalla
vcp=kava, skd=kava
vcp=kaSa, skd=kaSa
vcp=kaza, skd=kaza
vcp=kasa, skd=kasa
vcp=kAkza, skd=kAkza
vcp=kAca, skd=?
vcp=kAla, skd=kAla
vcp=kASa, skd=kASa
vcp=kAsa, skd=kAsa
vcp=ki, skd=ki
vcp=kiwa, skd=kiwa
vcp=kiwakiwAya, skd=?
vcp=kita, skd=kita
vcp=kiroqAwa, skd=?
vcp=kila, skd=kila
vcp=kizka, skd=kizka
vcp=kIwa, skd=kIwa
vcp=kIla, skd=kIla
vcp=ku, skd=ku
vcp=kuka, skd=kuk *
vcp=kuca, skd=kuca
vcp=kuja, skd=kuja
vcp=kuwa, skd=kuwa
vcp=kuwumba, skd=kuwumba
vcp=kuwwa, skd=kuwwa
vcp=kuWa, skd=kuWa
vcp=kuqa, skd=kuqa
vcp=kuRa, skd=kuRa
vcp=kuta, skd=kut *
vcp=kutsa, skd=kutsa
vcp=kuTa, skd=kuTa
vcp=kuda, skd=?
vcp=kudra, skd=kudra
vcp=kunca, skd=kunca
vcp=kunTa, skd=kunTa
vcp=kupa, skd=kupa
vcp=kuba, skd=kuba
vcp=kuBa, skd=?
vcp=kumAra, skd=kumAra
vcp=kumAla, skd=kumAla
vcp=kura, skd=kura
vcp=kurdda, skd=kurdda
vcp=kula, skd=kula
vcp=kuSa, skd=kuSa
vcp=kuza, skd=kuza
vcp=kuzuBa, skd=?
vcp=kusa, skd=kusa
vcp=kusma, skd=kusma
vcp=kuha, skd=kuha
vcp=kU, skd=kU
vcp=kUja, skd=kUja
vcp=kUwa, skd=kUwa
vcp=kUqa, skd=kUqa
vcp=kURa, skd=kURa
vcp=kUpa, skd=kUpa
vcp=kUrdda, skd=kUrdda
vcp=kUla, skd=kUla
vcp=kf, skd=kf
vcp=kfta, skd=kft *
vcp=kfpa, skd=kfpa
vcp=kfva, skd=kfva
vcp=kfSa, skd=kfSa
vcp=kfza, skd=kfza
vcp=kF, skd=kF
vcp=kFta, skd=kFt *
vcp=keta, skd=keta
vcp=kepa, skd=kepa
vcp=kela, skd=kela
vcp=kelA, skd=?
vcp=keva, skd=keva
vcp=kE, skd=kE
vcp=knaTa, skd=knaTa
vcp=knasa, skd=knasa
vcp=knUya, skd=knUya
vcp=kmara, skd=kmara
vcp=kraMSa, skd=?
vcp=kraTa, skd=kraTa
vcp=krada, skd=krada
vcp=kranda, skd=kranda
vcp=krapa, skd=krapa
vcp=krama, skd=krama
vcp=krI, skd=krI
vcp=krIqa, skd=krIqa
vcp=kruqa, skd=?
vcp=kruTa, skd=?
vcp=kruDa, skd=kruDa
vcp=krunca, skd=krunca
vcp=krunTa, skd=krunTa
vcp=kruSa, skd=kruSa
vcp=klaTa, skd=klaTa
vcp=klada, skd=klada
vcp=klapa, skd=?
vcp=klama, skd=klama
vcp=klava, skd=klava
vcp=klida, skd=klida
vcp=kliSa, skd=kliSa
vcp=klIba, skd=?
vcp=kx, skd=?
vcp=?, skd=klIva
vcp=?, skd=kleSa
vcp=kvaRa, skd=kvaRa
vcp=kvaTa, skd=kvaTa
vcp=kvela, skd=kvela
vcp=kzaja, skd=kzaja
vcp=kzaRa, skd=kzaRa
vcp=kzada, skd=kzada
vcp=kzapa, skd=kzapa
vcp=kzama, skd=kzama
vcp=kzara, skd=kzara
vcp=kzala, skd=kzala
vcp=kzi, skd=kzi
vcp=kziRa, skd=kziRa
vcp=kzipa, skd=kzipa
vcp=kziva, skd=kziva
vcp=kzI, skd=kzI
vcp=kzIja, skd=kzIja
vcp=kzIba, skd=kzIba
vcp=kzIva, skd=kzIva
vcp=kzu, skd=kzu
vcp=kzuda, skd=kzuda
vcp=kzuD, skd=kzuDa *
vcp=kzupa, skd=kzupa
vcp=kzuBa, skd=kzuBa
vcp=kzumpa, skd=?
vcp=kzura, skd=kzura
vcp=kzeva, skd=?
vcp=kzE, skd=kzE
vcp=kzRu, skd=kzRu
vcp=kzmAya, skd=kzmAya
vcp=kzmIla, skd=kzmIla
vcp=kzviqa, skd=kzviqa
vcp=kzvida, skd=kzvida
vcp=kzvela, skd=kzvela
vcp=KakKa, skd=KakKa
vcp=Kaca, skd=Kaca
vcp=Kaja, skd=Kaja
vcp=Kawa, skd=Kawa
vcp=Kawwa, skd=Kawwa
vcp=Kaqa, skd=Kaqa
vcp=Kada, skd=Kada
vcp=Kana, skd=Kana
vcp=Kamba, skd=Kamba
vcp=Karja, skd=Karjja *
vcp=Kardda, skd=Kardda
vcp=Karba, skd=Karbba *
vcp=?, skd=Karvva
vcp=Kala, skd=Kala
vcp=Kava, skd=Kava
vcp=Kaza, skd=Kaza
vcp=KAda, skd=KAda
vcp=Kiwa, skd=Kiwa
vcp=Kida, skd=Kida
vcp=Ku, skd=Ku
vcp=Kuja, skd=Kuja
vcp=Kuqa, skd=Kuqa
vcp=Kuda, skd=?
vcp=Kura, skd=Kura
vcp=Kurdda, skd=Kurdda
vcp=?, skd=KUrdda
vcp=Kewa, skd=Kewa
vcp=Keqa, skd=Keqa
vcp=Kela, skd=Kela
vcp=KelA, skd=?
vcp=Keva, skd=Keva
vcp=KE, skd=KE
vcp=Kowa, skd=Kowa
vcp=Koqa, skd=Koqa
vcp=Kora, skd=Kora
vcp=Kola, skd=Kola
vcp=KyA, skd=KyA
vcp=gagGa, skd=gagGa
vcp=gaja, skd=gaja
vcp=gaqa, skd=gaqa
vcp=gaRa, skd=gaRa
vcp=gada, skd=gada
vcp=gadgada, skd=?
vcp=gaDa, skd=?
vcp=ganDa, skd=ganDa
vcp=gama, skd=gama
vcp=gamba, skd=gamba
vcp=garjja, skd=garjja
vcp=gardda, skd=gardda
vcp=gardDa, skd=gardDa
vcp=garba, skd=garbba *
vcp=garva, skd=garvva *
vcp=garha, skd=garha
vcp=gala, skd=gala
vcp=galBa, skd=galBa
vcp=galha, skd=galha
vcp=gaveza, skd=gaveza
vcp=gaha, skd=gaha
vcp=gA, skd=gA
vcp=gAtra, skd=gAtra
vcp=gADa, skd=gADa
vcp=gAha, skd=gAha
vcp=gu, skd=gu
vcp=guja, skd=guja
vcp=guWa, skd=guWa
vcp=guqa, skd=guqa
vcp=guRa, skd=guRa
vcp=guda, skd=guda
vcp=gudra, skd=gudra
vcp=guDa, skd=guDa
vcp=gunPa, skd=gunPa
vcp=gupa, skd=gupa
vcp=guPa, skd=guPa
vcp=gumPa, skd=?
vcp=gura, skd=gura
vcp=gurdda, skd=gurdda
vcp=gurva, skd=gurvva *
vcp=guha, skd=guha
vcp=gU, skd=gU
vcp=gUra, skd=gUra
vcp=gUrdda, skd=gUrdda
vcp=gf, skd=gf
vcp=gfja, skd=gfja
vcp=gfDa, skd=gfDa
vcp=gfha, skd=gfha
vcp=gF, skd=gF
vcp=geda, skd=geda
vcp=geva, skd=geva
vcp=geza, skd=geza
vcp=gE, skd=gE
vcp=goDA, skd=?
vcp=goma, skd=goma
vcp=gozwa, skd=gozwa
vcp=graTa, skd=graTa
vcp=granTa, skd=granTa
vcp=grasa, skd=grasa
vcp=graha, skd=graha
vcp=gruca, skd=gruca
vcp=glasa, skd=glasa
vcp=glaha, skd=glaha
vcp=gluca, skd=gluca
vcp=glunca, skd=gluYca *
vcp=glepa, skd=glepa
vcp=gleva, skd=gleva
vcp=gleza, skd=gleza
vcp=glE, skd=glE
vcp=GagGa, skd=GagGa
vcp=Gawa, skd=Gawa
vcp=Gawwa, skd=Gawwa
vcp=GaRa, skd=GaRa
vcp=Gamba, skd=Gamba
vcp=Garba, skd=Garbba *
vcp=Gaza, skd=Gaza
vcp=Gasa, skd=Gasa
vcp=GiRRa, skd=GiRa *
vcp=Gu, skd=Gu
vcp=Guwa, skd=Guwa
vcp=Guqa, skd=Guqa
vcp=GuRa, skd=GuRa
vcp=Gura, skd=Gura
vcp=Guza, skd=Guza
vcp=GUra, skd=GUra
vcp=GUrRRa, skd=GUrRa *
vcp=Gf, skd=Gf
vcp=GfRa, skd=GfRa
vcp=Gfza, skd=Gfza
vcp=GrA, skd=GrA
vcp=Nu, skd=Nu
vcp=caka, skd=caka
vcp=cakAsa, skd=cakAsa
vcp=cakka, skd=cakka
vcp=cakza, skd=cakza
vcp=caGa, skd=caGa
vcp=cawa, skd=cawa
vcp=caqa, skd=caqa
vcp=caRa, skd=caRa
vcp=cata, skd=cata
vcp=cada, skd=cada
vcp=cana, skd=cana
vcp=?, skd=canca
vcp=capa, skd=capa
vcp=cama, skd=cama
vcp=camba, skd=camba
vcp=caya, skd=caya
vcp=cara, skd=cara
vcp=carca, skd=carcca *
vcp=carba, skd=carbba *
vcp=carva, skd=carvva *
vcp=cala, skd=cala
vcp=caza, skd=caza
vcp=caha, skd=caha
vcp=cAya, skd=cAya
vcp=ci, skd=ci
vcp=cikka, skd=cikka
vcp=ciwa, skd=ciwa
vcp=cita, skd=cita
vcp=citra, skd=citra
vcp=ciri, skd=ciri
vcp=cila, skd=cila
vcp=cilla, skd=cilla
vcp=cihna, skd=cihna
vcp=cIka, skd=cIka
vcp=cIBa, skd=cIBa
vcp=cIva, skd=cIva
vcp=cukka, skd=cukka
vcp=cucya, skd=cucya
vcp=cuwa, skd=cuwa
vcp=cuwwa, skd=cuwwa
vcp=cuqa, skd=cuqa
vcp=cuqqa, skd=cuqqa
vcp=cuRa, skd=cuRa
vcp=cuta, skd=cuta
vcp=cuda, skd=cuda
vcp=?, skd=cudqa
vcp=cupa, skd=cupa
vcp=cuba, skd=cuba
vcp=cura, skd=cura
vcp=curaRa, skd=?
vcp=cula, skd=?
vcp=culumpa, skd=culumpa
vcp=culla, skd=culla
vcp=cURa, skd=cURa
vcp=cUra, skd=cUra
vcp=cUrRRa, skd=cUrRa *
vcp=cUza, skd=cUza
vcp=cfta, skd=cft *
vcp=cela, skd=cela
vcp=cella, skd=cella
vcp=cezwa, skd=cezwa
vcp=cyu, skd=cyu
vcp=cyuta, skd=cyut *
vcp=cyusa, skd=cyusa
vcp=Cada, skd=Cada
vcp=Capa, skd=Capa
vcp=Cama, skd=Cama
vcp=Cardda, skd=Cardda
vcp=Caza, skd=Caza
vcp=Cida, skd=Cida
vcp=Cidra, skd=Cidra
vcp=Cuwa, skd=Cuwa
vcp=Cuqa, skd=?
vcp=Cupa, skd=Cupa
vcp=Cura, skd=Cura
vcp=Cfda, skd=Cfda
vcp=Cfpa, skd=?
vcp=Ceda, skd=Ceda
vcp=Co, skd=Co
vcp=Cyu, skd=Cyu
vcp=jakza, skd=jakza
vcp=jaja, skd=jaja
vcp=jajJa, skd=?
vcp=jawa, skd=jawa
vcp=jana, skd=jana
vcp=japa, skd=japa
vcp=jaBa, skd=jaBa
vcp=jama, skd=jama
vcp=jarca, skd=jarcca *
vcp=?, skd=jarcCa
vcp=jarja, skd=jarjja *
vcp=jarJa, skd=jarJa
vcp=jartsa, skd=jartsa
vcp=jala, skd=jala
vcp=jalpa, skd=jalpa
vcp=jaza, skd=jaza
vcp=jasa, skd=jasa
vcp=jAgf, skd=jAgf
vcp=ji, skd=ji
vcp=jima, skd=jima
vcp=jiri, skd=jiri
vcp=jiva, skd=jiva
vcp=jiza, skd=jiza
vcp=jIva, skd=jIva
vcp=ju, skd=ju
vcp=juga, skd=juga
vcp=juqa, skd=juqa
vcp=juta, skd=juta
vcp=juna, skd=juna
vcp=?, skd=jurvva
vcp=jula, skd=jula
vcp=juza, skd=juza
vcp=jU, skd=?
vcp=jUra, skd=jUra
vcp=jUza, skd=jUza
vcp=jf, skd=jf
vcp=jfBa, skd=jfBa
vcp=jF, skd=jF
vcp=jeza, skd=jeza
vcp=jeha, skd=jeha
vcp=jE, skd=jE
vcp=jYapa, skd=jYapa
vcp=jYA, skd=jYA
vcp=jyA, skd=jyA
vcp=jyu, skd=jyu
vcp=jyuta, skd=jyuta
vcp=jyo, skd=jyo
vcp=jri, skd=jri
vcp=jrI, skd=jrI
vcp=jvara, skd=jvara
vcp=jvala, skd=jvala
vcp=Jawa, skd=Jawa
vcp=Jama, skd=Jama
vcp=Jarca, skd=Jarcca *
vcp=JarcCa, skd=JarcCa
vcp=JarJa, skd=JarJa
vcp=Jaza, skd=Jaza
vcp=Jf, skd=JF *
vcp=Jyu, skd=Jyu
vcp=waka, skd=waka
vcp=wala, skd=wala
vcp=wika, skd=wika
vcp=wipa, skd=wipa
vcp=wIka, skd=wIka
vcp=wvala, skd=wvala
vcp=qapa, skd=qapa
vcp=qaba, skd=qaba
vcp=qaBa, skd=qaBa
vcp=qipa, skd=qipa
vcp=qiba, skd=qiba
vcp=qiBa, skd=qiBa
vcp=qima, skd=qima
vcp=qI, skd=qI
vcp=qvala, skd=?
vcp=QuRQa, skd=QuRQa
vcp=QOka, skd=QOka
vcp=?, skd=Rakza
vcp=RaKa, skd=RaKa
vcp=Rawa, skd=Rawa
vcp=Rada, skd=Rada
vcp=RaBa, skd=RaBa
vcp=Rama, skd=Rama
vcp=Raya, skd=Raya
vcp=Rardda, skd=Rarda *
vcp=Rala, skd=Rala
vcp=RaSa, skd=RaSa
vcp=Rasa, skd=Rasa
vcp=Raha, skd=Raha
vcp=?, skd=RATa
vcp=?, skd=RADa
vcp=RAsa, skd=RAsa
vcp=Rikza, skd=Rikza
vcp=Rija, skd=Rija
vcp=Rida, skd=Rida
vcp=Rila, skd=Rila
vcp=Riva, skd=Riva
vcp=RiSa, skd=RiSa
vcp=Riza, skd=Riza
vcp=Risa, skd=Risa
vcp=RI, skd=RI
vcp=RIla, skd=RIla
vcp=RIva, skd=RIva
vcp=Ru, skd=Ru
vcp=Ruda, skd=Ruda
vcp=RU, skd=RU
vcp=Reda, skd=Reda
vcp=Reza, skd=Reza
vcp=taka, skd=taka
vcp=takza, skd=takza
vcp=taga, skd=taga
vcp=tawa, skd=tawa
vcp=taqa, skd=taqa
vcp=tatra, skd=tatra
vcp=tadra, skd=?
vcp=tana, skd=tana
vcp=tanca, skd=tanca
vcp=tanja, skd=tanja
vcp=tantas, skd=?
vcp=tapa, skd=tapa
vcp=tama, skd=tama
vcp=tamba, skd=tamba
vcp=taya, skd=taya
vcp=taruza, skd=?
vcp=tarka, skd=tarka
vcp=tarja, skd=tarjja *
vcp=tardda, skd=tarda *
vcp=tarba, skd=tarba
vcp=tala, skd=tala
vcp=tasa, skd=tasa
vcp=tAya, skd=tAya
vcp=tika, skd=tika
vcp=tiga, skd=tiga
vcp=tiGa, skd=tiGa
vcp=tija, skd=tija
vcp=tipa, skd=tipa
vcp=tima, skd=tima
vcp=tila, skd=tila
vcp=tilla, skd=tilla
vcp=tIka, skd=?
vcp=tIma, skd=tIma
vcp=tIra, skd=tIra
vcp=tIva, skd=tIva
vcp=tu, skd=tu
vcp=tuja, skd=tuja
vcp=tuwa, skd=tuwa
vcp=tuqa, skd=tuqa
vcp=tuqqa, skd=tuqqa
vcp=tuRa, skd=tuRa
vcp=tutTa, skd=tutTa
vcp=tuda, skd=tuda
vcp=tunpa, skd=tunpa
vcp=tunPa, skd=tunPa
vcp=tupa, skd=tupa
vcp=tuPa, skd=tuPa
vcp=tuba, skd=tuba
vcp=tuBa, skd=tuBa
vcp=tuma, skd=?
vcp=tura, skd=tura
vcp=turaRa, skd=?
vcp=turIya, skd=?
vcp=turva, skd=turvva *
vcp=tula, skd=tula
vcp=tuSa, skd=?
vcp=tuza, skd=tuza
vcp=tusa, skd=tusa
vcp=tuha, skd=tuha
vcp=tUqa, skd=tUqa
vcp=tURa, skd=tURa
vcp=tUra, skd=tUra
vcp=tUla, skd=tUla
vcp=tUza, skd=tUza
vcp=tfkza, skd=tfkza
vcp=tfRa, skd=tfRa
vcp=tfda, skd=tfda
vcp=tfnpa, skd=tfnpa
vcp=tfnPa, skd=tfnPa
vcp=tfnha, skd=tfnha
vcp=tfpa, skd=tfpa
vcp=tfPa, skd=tfPa
vcp=tfza, skd=tfza
vcp=tfha, skd=tfha
vcp=tF, skd=tF
vcp=teja, skd=?
vcp=tepa, skd=tepa
vcp=teva, skd=teva
vcp=toqa, skd=toqa
vcp=tyaja, skd=tyaja
vcp=traka, skd=traka
vcp=traKa, skd=?
vcp=traga, skd=traga
vcp=trada, skd=trada
vcp=trapa, skd=trapa
vcp=trasa, skd=trasa
vcp=trA, skd=trA
vcp=truwa, skd=truwa
vcp=trunpa, skd=trunpa
vcp=trunPa, skd=trunPa
vcp=trupa, skd=trupa
vcp=?, skd=truPa
vcp=trE, skd=trE
vcp=trOka, skd=trOka
vcp=tvakza, skd=tvakza
vcp=tvaga, skd=tvaga
vcp=tvaca, skd=tvac *
vcp=tvanca, skd=tvanca
vcp=tvara, skd=tvara
vcp=tvarAyas, skd=?
vcp=tviza, skd=tviza
vcp=tsara, skd=tsara
vcp=Tarvva, skd=?
vcp=Tuqa, skd=Tuqa
vcp=Turvva, skd=Turvva
vcp=dakza, skd=dakza
vcp=daGa, skd=daGa
vcp=daRqa, skd=daRqa
vcp=dada, skd=dada
vcp=daDa, skd=daDa
vcp=danBa, skd=danBa
vcp=danSa, skd=danSa
vcp=daBa, skd=daBa
vcp=dama, skd=dama
vcp=daya, skd=daya
vcp=daridrA, skd=daridrA
vcp=dala, skd=dala
vcp=dava, skd=dava
vcp=daSa, skd=daSa
vcp=dasa, skd=dasa
vcp=daha, skd=daha
vcp=dA, skd=dA
vcp=dAna, skd=dAna
vcp=dAya, skd=dAya
vcp=dASa, skd=dASa
vcp=dAsa, skd=dAsa
vcp=dinBa, skd=dinBa
vcp=diBa, skd=diBa
vcp=dimpa, skd=dimpa
vcp=diva, skd=diva
vcp=diSa, skd=diSa
vcp=diha, skd=diha
vcp=dI, skd=dI
vcp=dIkza, skd=dIkza
vcp=dIDI, skd=dIDI
vcp=dIpa, skd=dIpa
vcp=du, skd=du
vcp=duHKa, skd=duHKa
vcp=duDa, skd=?
vcp=durva, skd=durvva *
vcp=dula, skd=dula
vcp=duvas, skd=?
vcp=duza, skd=duza
vcp=duha, skd=duha
vcp=dU, skd=dU
vcp=df, skd=df
vcp=dfnPa, skd=dfnPa
vcp=dfpa, skd=dfpa
vcp=dfPa, skd=dfPa
vcp=dfBa, skd=dfBa
vcp=?, skd=dfmpa
vcp=dfSa, skd=dfSa
vcp=dfha, skd=dfha
vcp=dF, skd=dF
vcp=de, skd=de
vcp=deva, skd=deva
vcp=dE, skd=dE
vcp=do, skd=do
vcp=dyu, skd=dyu
vcp=dyuta, skd=dyut *
vcp=dyE, skd=dyE
vcp=drama, skd=drama
vcp=dravat, skd=?
vcp=dravas, skd=?
vcp=drA, skd=drA
vcp=drAkza, skd=drAkza
vcp=drAKa, skd=drAKa
vcp=drAGa, skd=drAGa
vcp=drAqa, skd=drAqa
vcp=drAha, skd=drAha
vcp=dru, skd=dru
vcp=druqa, skd=druqa
vcp=druRa, skd=druRa
vcp=drumma, skd=?
vcp=druha, skd=druha
vcp=drU, skd=drU
vcp=dreka, skd=dreka
vcp=?, skd=drE
vcp=dviza, skd=dviza
vcp=?, skd=dvf
vcp=Dakka, skd=Dakka
vcp=DaRa, skd=DaRa
vcp=Dana, skd=Dana
vcp=Danva, skd=?
vcp=Dama, skd=Dama
vcp=Dava, skd=Dava
vcp=DA, skd=DA
vcp=DAva, skd=DAva
vcp=Di, skd=Di
vcp=Dikza, skd=Dikza
vcp=Diva, skd=Diva
vcp=Diza, skd=Diza
vcp=DI, skd=DI
vcp=DIkza, skd=?
vcp=DIra, skd=?
vcp=Du, skd=Du
vcp=Dukza, skd=Dukza
vcp=Durva, skd=Durva
vcp=DU, skd=DU
vcp=DUpa, skd=DUpa
vcp=DUra, skd=DUra
vcp=DUSa, skd=DUSa
vcp=?, skd=DUza
vcp=?, skd=DUsa
vcp=Df, skd=Df
vcp=Dfja, skd=Dfja
vcp=Dfza, skd=Dfza
vcp=De, skd=De
vcp=Dora, skd=Dora
vcp=DmA, skd=DmA
vcp=DmAkza, skd=?
vcp=DyE, skd=DyE
vcp=Draja, skd=Draja
vcp=DraRa, skd=DraRa
vcp=Drasa, skd=Drasa
vcp=Dra, skd=?
vcp=DrAkza, skd=DrAkza
vcp=DrAKa, skd=DrAKa
vcp=DrAGa, skd=DrAGa
vcp=DrAqa, skd=DrAqa
vcp=Drija, skd=Drija
vcp=Dru, skd=Dru
vcp=Dreka, skd=Dreka
vcp=DrE, skd=DrE
vcp=Dvaja, skd=Dvaja
vcp=DvaRa, skd=DvaRa
vcp=Dvana, skd=Dvana
vcp=Dvansa, skd=Dvansa
vcp=?, skd=DvAkza
vcp=Dvf, skd=Dvf
vcp=DvraRa, skd=?
vcp=nakka, skd=?
vcp=?, skd=nakva
vcp=nakza, skd=?
vcp=naKa, skd=naKa
vcp=naja, skd=naja
vcp=nawa, skd=nawa
vcp=naqa, skd=naqa
vcp=nada, skd=nada
vcp=naBa, skd=?
vcp=namba, skd=namba
vcp=naya, skd=naya
vcp=nardda, skd=nardda
vcp=narba, skd=narbba *
vcp=nasa, skd=?
vcp=nATa, skd=nATa
vcp=nADa, skd=nADa
vcp=?, skd=nivAsa
vcp=nizka, skd=nizka
vcp=nuqa, skd=nuqa
vcp=nf, skd=?
vcp=nfta, skd=nfta
vcp=nF, skd=nF
vcp=neda, skd=?
vcp=pakza, skd=pakza
vcp=paca, skd=paca
vcp=paja, skd=paja
vcp=pawa, skd=pawa
vcp=paWa, skd=paWa
vcp=paqa, skd=paqa
vcp=paRa, skd=paRa
vcp=paRasya, skd=?
vcp=pata, skd=pata
vcp=paTa, skd=paTa
vcp=pada, skd=pada
vcp=pana, skd=pana
vcp=pampas, skd=?
vcp=pamba, skd=pamba
vcp=paya, skd=paya
vcp=payasya, skd=?
vcp=parRa, skd=parRa
vcp=pardda, skd=pardda
vcp=parpa, skd=?
vcp=parba, skd=parbba *
vcp=parva, skd=parvva *
vcp=parza, skd=parza
vcp=pala, skd=pala
vcp=palyula, skd=palyula
vcp=palyUla, skd=palyUla
vcp=palla, skd=palla
vcp=paSa, skd=paSa
vcp=?, skd=paza
vcp=pasa, skd=pasa
vcp=pA, skd=pA
vcp=pAra, skd=pAra
vcp=pAla, skd=pAla
vcp=pi, skd=pi
vcp=picca, skd=picca
vcp=picCa, skd=picCa
vcp=pija, skd=pija
vcp=piwa, skd=piwa
vcp=piwwa, skd=?
vcp=piWa, skd=piWa
vcp=piqa, skd=piqa
vcp=pila, skd=pila
vcp=piva, skd=piva
vcp=piSa, skd=piSa
vcp=piza, skd=piza
vcp=pisa, skd=pisa
vcp=pI, skd=pI
vcp=pIqa, skd=pIqa
vcp=pIpara, skd=?
vcp=pIya, skd=pIya
vcp=pIla, skd=pIla
vcp=pIva, skd=pIva
vcp=puMsa, skd=puMsa
vcp=pucCa, skd=pucCa
vcp=puwa, skd=puwa
vcp=puwwa, skd=puwwa
vcp=puqa, skd=puqa
vcp=puRa, skd=puRa
vcp=putta, skd=putta
vcp=puTa, skd=puTa
vcp=pura, skd=pura
vcp=purARa, skd=?
